V /V,g1 /mbar,error,g2 /mbar,error,Ip /uA,error
30,2.2E-9,0.05E-9,6.6E-9,0.1E-9,2,0.5
150,2.2E-9,0.05E-9,6.6E-9,0.1E-9,2,0.5
155,2.2E-9,0.05E-9,6.6E-9,0.1E-9,2,0.5
160,2.65E-9,0.1E-9,6.6E-9,0.1E-9,2,0.5
165,8.1E-9,0.3E-9,6.7E-9,0.1E-9,2,0.5
170,7.5E-8,0.3E-8,8.7E-9,0.1E-9,3,0.5
175,2.4E-7,0.4E-7,1.4E-8,0.1E-8,6,0.5
180,1.0E-6,0.04E-6,3.4E-8,0.1E-8,16,1
185,2.3E-6,0.1E-6,7.0E-8,0.1E-8,35,1
190,6.7E-6,0.2E-6,1.7E-7,0.1E-7,81,2
195,1.54E-5,0.04E-5,3.5E-7,0.2E-7,160,5
200,3.00E-5,0.04E-5,5.9E-7,0.1E-7,265,5
205,4.64E-5,0.06E-5,8.6E-7,0.6E-7,365,5
210,8.10E-5,0.06E-5,1.4E-6,0.1E-6,610,10
